type	threads	total time, s	time per step, us	n	x
processes	1	16.938458681106567	0.16938458681106566	100000000	-2.1
processes	1	13.142886877059937	0.13142886877059937	100000000	-1
processes	1	5.460324287414551	0.05460324287414551	100000000	0
processes	1	11.112298965454102	0.11112298965454101	100000000	1
processes	1	19.0610408782959	0.19061040878295898	100000000	5
processes	1	16.991202354431152	0.1699120235443115	100000000	13.54
processes	2	8.416542053222656	0.08416542053222656	100000000	-2.1
processes	2	6.994075059890747	0.06994075059890746	100000000	-1
processes	2	2.7293503284454346	0.027293503284454346	100000000	0
processes	2	5.533768177032471	0.055337681770324706	100000000	1
processes	2	7.614842176437378	0.07614842176437378	100000000	5
processes	2	7.6201066970825195	0.0762010669708252	100000000	13.54
processes	3	5.674312353134155	0.056743123531341554	100000000	-2.1
processes	3	4.375730276107788	0.04375730276107788	100000000	-1
processes	3	1.8293566703796387	0.018293566703796386	100000000	0
processes	3	3.727674961090088	0.03727674961090088	100000000	1
processes	3	5.550015687942505	0.05550015687942505	100000000	5
processes	3	5.103610992431641	0.051036109924316404	100000000	13.54
processes	4	4.320735216140747	0.043207352161407475	100000000	-2.1
processes	4	3.3780879974365234	0.033780879974365234	100000000	-1
processes	4	1.4350824356079102	0.0143508243560791	100000000	0
processes	4	2.8536524772644043	0.028536524772644043	100000000	1
processes	4	3.9539732933044434	0.039539732933044434	100000000	5
processes	4	3.9210031032562256	0.03921003103256225	100000000	13.54
processes	5	4.726715087890625	0.047267150878906254	100000000	-2.1
processes	5	3.5042009353637695	0.035042009353637694	100000000	-1
processes	5	1.4822463989257812	0.014822463989257812	100000000	0
processes	5	2.8919639587402344	0.028919639587402346	100000000	1
processes	5	3.9328877925872803	0.0393288779258728	100000000	5
processes	5	3.9923341274261475	0.03992334127426147	100000000	13.54
processes	6	4.457482099533081	0.04457482099533081	100000000	-2.1
processes	6	3.4503142833709717	0.03450314283370971	100000000	-1
processes	6	1.452885627746582	0.014528856277465821	100000000	0
processes	6	2.9140658378601074	0.029140658378601074	100000000	1
processes	6	4.029414176940918	0.04029414176940918	100000000	5
processes	6	4.054732322692871	0.04054732322692871	100000000	13.54
processes	7	4.419166803359985	0.044191668033599855	100000000	-2.1
processes	7	3.409890651702881	0.03409890651702881	100000000	-1
processes	7	1.4505083560943604	0.014505083560943604	100000000	0
processes	7	2.9960200786590576	0.029960200786590577	100000000	1
processes	7	4.0473854541778564	0.04047385454177857	100000000	5
processes	7	4.043254137039185	0.040432541370391845	100000000	13.54
processes	8	4.325571775436401	0.043255717754364015	100000000	-2.1
processes	8	3.39813232421875	0.0339813232421875	100000000	-1
processes	8	1.3957328796386719	0.013957328796386718	100000000	0
processes	8	2.87656569480896	0.0287656569480896	100000000	1
processes	8	3.9292759895324707	0.03929275989532471	100000000	5
processes	8	3.925464630126953	0.039254646301269534	100000000	13.54
processes	9	4.369933366775513	0.04369933366775512	100000000	-2.1
processes	9	3.4992973804473877	0.03499297380447388	100000000	-1
processes	9	1.4045300483703613	0.014045300483703614	100000000	0
processes	9	2.897897958755493	0.028978979587554934	100000000	1
processes	9	3.962510824203491	0.03962510824203491	100000000	5
processes	9	3.9225480556488037	0.039225480556488036	100000000	13.54
processes	10	4.3228065967559814	0.04322806596755981	100000000	-2.1
processes	10	3.5337116718292236	0.03533711671829223	100000000	-1
processes	10	1.4213695526123047	0.014213695526123046	100000000	0
processes	10	2.9021549224853516	0.02902154922485352	100000000	1
processes	10	3.929608106613159	0.0392960810661316	100000000	5
processes	10	3.9395413398742676	0.039395413398742675	100000000	13.54
processes	11	4.388168096542358	0.04388168096542358	100000000	-2.1
processes	11	3.3606200218200684	0.03360620021820068	100000000	-1
processes	11	1.4141011238098145	0.014141011238098146	100000000	0
processes	11	2.89683198928833	0.0289683198928833	100000000	1
processes	11	3.970022439956665	0.03970022439956666	100000000	5
processes	11	3.9117519855499268	0.03911751985549927	100000000	13.54
processes	12	4.359060049057007	0.04359060049057007	100000000	-2.1
processes	12	3.3706486225128174	0.033706486225128174	100000000	-1
processes	12	1.3988659381866455	0.013988659381866456	100000000	0
processes	12	2.869150161743164	0.02869150161743164	100000000	1
processes	12	3.8990917205810547	0.03899091720581055	100000000	5
processes	12	3.923182249069214	0.03923182249069214	100000000	13.54
processes	13	4.33249044418335	0.0433249044418335	100000000	-2.1
processes	13	3.4299371242523193	0.03429937124252319	100000000	-1
processes	13	1.4166064262390137	0.014166064262390136	100000000	0
processes	13	3.0675251483917236	0.030675251483917233	100000000	1
processes	13	3.9065825939178467	0.03906582593917847	100000000	5
processes	13	3.965071439743042	0.03965071439743042	100000000	13.54
processes	14	4.36918044090271	0.0436918044090271	100000000	-2.1
processes	14	3.3991410732269287	0.03399141073226929	100000000	-1
processes	14	1.4004998207092285	0.014004998207092284	100000000	0
processes	14	2.8865139484405518	0.028865139484405517	100000000	1
processes	14	3.934595823287964	0.03934595823287964	100000000	5
processes	14	3.9502482414245605	0.03950248241424561	100000000	13.54
processes	15	4.410219192504883	0.04410219192504883	100000000	-2.1
processes	15	3.404162883758545	0.03404162883758545	100000000	-1
processes	15	1.3966693878173828	0.013966693878173828	100000000	0
processes	15	2.892549514770508	0.028925495147705076	100000000	1
processes	15	3.9451422691345215	0.03945142269134522	100000000	5
processes	15	4.115965843200684	0.041159658432006835	100000000	13.54
processes	16	4.326848983764648	0.04326848983764649	100000000	-2.1
processes	16	3.384676456451416	0.033846764564514166	100000000	-1
processes	16	1.4091265201568604	0.014091265201568602	100000000	0
processes	16	2.8813719749450684	0.028813719749450684	100000000	1
